SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:10.00 ;3253 ;7 ;96;33;82;0.776 ;17.6 ;15.8 ;0 ;13.7 ;-10 ;3.86 ;20.6 ;0 ;0 ;4.5;25.8;
1331 ;0:10.10 ;2832 ;7 ;96;33;83;0.743 ;17.9 ;13.7 ;0 ;13.6 ;-23 ;3.55 ;18.9 ;0 ;0 ;3.5;20.0;
1331 ;0:10.20 ;2616 ;7 ;96;33;82;0.741 ;18.0 ;12.7 ;0 ;13.5 ;-29 ;3.35 ;18.3 ;0 ;0 ;3.3;18.5;
1331 ;0:10.30 ;2654 ;7 ;96;33;81;0.756 ;18.1 ;12.9 ;0 ;13.5 ;-28 ;3.38 ;18.4 ;0 ;0 ;3.4;18.7;
1331 ;0:10.40 ;3213 ;7 ;96;33;77;0.806 ;17.8 ;15.6 ;0 ;13.6 ;-12 ;3.83 ;20.4 ;0 ;0 ;4.6;25.8;
1331 ;0:10.50 ;3843 ;7 ;96;33;78;0.761 ;17.9 ;18.6 ;0 ;13.6 ;3 ;4.22 ;23.4 ;0 ;0 ;6.1;34.0;
1331 ;0:10.60 ;3502 ;8 ;96;33;82;0.739 ;17.3 ;16.7 ;0 ;13.6 ;-3 ;3.95 ;22.7 ;0 ;0 ;5.1;30.9;
1331 ;0:10.70 ;2410 ;7 ;96;33;82;0.740 ;17.5 ;11.7 ;0 ;13.4 ;-33 ;3.25 ;18.0 ;0 ;0 ;2.9;16.2;
1331 ;0:10.80 ;3007 ;7 ;96;33;77;0.759 ;18.0 ;14.6 ;0 ;13.2 ;-18 ;3.71 ;19.5 ;0 ;0 ;4.2;23.7;
1331 ;0:10.90 ;4152 ;8 ;96;33;77;0.751 ;14.6 ;20.1 ;22 ;13.6 ;37 ;4.19 ;26.5 ;0 ;0 ;6.6;45.2;
1331 ;0:11.00 ;3354 ;8 ;96;33;81;0.736 ;15.7 ;15.8 ;0 ;13.5 ;0 ;3.87 ;22.0 ;0 ;0 ;4.7;31.1;
1331 ;0:11.10 ;2799 ;8 ;96;33;81;0.744 ;15.3 ;13.6 ;0 ;13.3 ;-11 ;3.53 ;20.5 ;0 ;0 ;3.7;24.1;
1331 ;0:11.20 ;3373 ;8 ;96;33;78;0.772 ;15.2 ;16.3 ;0 ;13.6 ;7 ;3.88 ;22.4 ;0 ;0 ;4.9;32.2;
1331 ;0:11.30 ;3690 ;8 ;96;33;79;0.771 ;13.6 ;17.9 ;16 ;13.6 ;31 ;4.03 ;23.7 ;0 ;0 ;5.5;40.4;
1331 ;0:11.40 ;3314 ;8 ;96;33;80;0.758 ;14.5 ;16.1 ;0 ;13.6 ;11 ;3.85 ;22.2 ;0 ;0 ;4.8;33.1;
1331 ;0:11.50 ;2851 ;8 ;96;33;79;0.753 ;14.7 ;13.8 ;0 ;13.5 ;-6 ;3.57 ;20.7 ;0 ;0 ;3.8;25.8;
1331 ;0:11.60 ;3213 ;8 ;96;33;77;0.778 ;15.2 ;15.6 ;0 ;13.5 ;2 ;3.80 ;21.8 ;0 ;0 ;4.6;29.6;
1331 ;0:11.70 ;3679 ;7 ;96;33;75;0.823 ;15.4 ;17.8 ;0 ;13.5 ;15 ;4.11 ;22.7 ;0 ;0 ;5.7;36.7;
1331 ;0:11.80 ;3665 ;7 ;96;33;76;0.778 ;14.6 ;17.8 ;6 ;13.2 ;21 ;4.11 ;22.6 ;0 ;0 ;5.7;39.0;
1331 ;0:11.90 ;3272 ;7 ;96;33;76;0.734 ;15.6 ;15.9 ;0 ;13.3 ;1 ;3.87 ;20.7 ;0 ;0 ;4.6;29.4;
1331 ;0:12.00 ;3119 ;7 ;96;33;74;0.745 ;16.4 ;15.1 ;0 ;13.5 ;-7 ;3.77 ;20.0 ;0 ;0 ;4.4;26.8;
1331 ;0:12.10 ;3762 ;7 ;96;33;72;0.797 ;15.7 ;18.2 ;0 ;13.6 ;15 ;4.17 ;23.0 ;0 ;0 ;5.9;37.5;
