SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:09.20 ;3106 ;7 ;96;33;76;0.900 ;13.1 ;15.1 ;0 ;13.6 ;15 ;3.77 ;19.9 ;0 ;0 ;4.4;33.5;
1331 ;0:09.30 ;3298 ;7 ;96;33;75;0.895 ;11.9 ;16.0 ;19 ;13.6 ;34 ;3.88 ;20.8 ;0 ;0 ;4.8;35.8;
1331 ;0:09.40 ;3405 ;7 ;96;33;73;0.850 ;13.6 ;16.5 ;6 ;13.5 ;21 ;3.95 ;21.4 ;0 ;0 ;5.1;37.5;
1331 ;0:09.50 ;3884 ;7 ;96;33;70;0.777 ;14.4 ;18.8 ;15 ;13.4 ;30 ;4.24 ;23.6 ;0 ;0 ;6.2;43.0;
1331 ;0:09.60 ;4216 ;7 ;96;33;69;0.750 ;15.2 ;20.4 ;19 ;13.6 ;34 ;4.32 ;26.2 ;0 ;0 ;6.9;45.3;
1331 ;0:09.70 ;4509 ;7 ;96;33;70;0.767 ;16.7 ;21.9 ;16 ;13.2 ;31 ;4.32 ;29.0 ;0 ;0 ;7.3;43.7;
1331 ;0:09.80 ;4510 ;7 ;96;33;74;0.760 ;16.6 ;21.9 ;16 ;13.3 ;31 ;4.32 ;29.0 ;0 ;0 ;7.3;43.7;
1331 ;0:09.90 ;3750 ;7 ;96;33;80;0.767 ;16.7 ;18.2 ;0 ;13.4 ;8 ;4.16 ;23.0 ;0 ;0 ;5.8;32.0;
1331 ;0:10.00 ;3253 ;7 ;96;33;82;0.776 ;17.6 ;15.8 ;0 ;13.7 ;-10 ;3.86 ;20.6 ;0 ;0 ;4.5;25.8;
1331 ;0:10.10 ;2832 ;7 ;96;33;83;0.743 ;17.9 ;13.7 ;0 ;13.6 ;-23 ;3.55 ;18.9 ;0 ;0 ;3.5;20.0;
1331 ;0:10.20 ;2616 ;7 ;96;33;82;0.741 ;18.0 ;12.7 ;0 ;13.5 ;-29 ;3.35 ;18.3 ;0 ;0 ;3.3;18.5;
1331 ;0:10.30 ;2654 ;7 ;96;33;81;0.756 ;18.1 ;12.9 ;0 ;13.5 ;-28 ;3.38 ;18.4 ;0 ;0 ;3.4;18.7;
1331 ;0:10.40 ;3213 ;7 ;96;33;77;0.806 ;17.8 ;15.6 ;0 ;13.6 ;-12 ;3.83 ;20.4 ;0 ;0 ;4.6;25.8;
1331 ;0:10.50 ;3843 ;7 ;96;33;78;0.761 ;17.9 ;18.6 ;0 ;13.6 ;3 ;4.22 ;23.4 ;0 ;0 ;6.1;34.0;
1331 ;0:10.60 ;3502 ;8 ;96;33;82;0.739 ;17.3 ;16.7 ;0 ;13.6 ;-3 ;3.95 ;22.7 ;0 ;0 ;5.1;30.9;
1331 ;0:10.70 ;2410 ;7 ;96;33;82;0.740 ;17.5 ;11.7 ;0 ;13.4 ;-33 ;3.25 ;18.0 ;0 ;0 ;2.9;16.2;
1331 ;0:10.80 ;3007 ;7 ;96;33;77;0.759 ;18.0 ;14.6 ;0 ;13.2 ;-18 ;3.71 ;19.5 ;0 ;0 ;4.2;23.7;
1331 ;0:10.90 ;4152 ;8 ;96;33;77;0.751 ;14.6 ;20.1 ;22 ;13.6 ;37 ;4.19 ;26.5 ;0 ;0 ;6.6;45.2;
1331 ;0:11.00 ;3354 ;8 ;96;33;81;0.736 ;15.7 ;15.8 ;0 ;13.5 ;0 ;3.87 ;22.0 ;0 ;0 ;4.7;31.1;
1331 ;0:11.10 ;2799 ;8 ;96;33;81;0.744 ;15.3 ;13.6 ;0 ;13.3 ;-11 ;3.53 ;20.5 ;0 ;0 ;3.7;24.1;
1331 ;0:11.20 ;3373 ;8 ;96;33;78;0.772 ;15.2 ;16.3 ;0 ;13.6 ;7 ;3.88 ;22.4 ;0 ;0 ;4.9;32.2;
1331 ;0:11.30 ;3690 ;8 ;96;33;79;0.771 ;13.6 ;17.9 ;16 ;13.6 ;31 ;4.03 ;23.7 ;0 ;0 ;5.5;40.4;
1331 ;0:11.40 ;3314 ;8 ;96;33;80;0.758 ;14.5 ;16.1 ;0 ;13.6 ;11 ;3.85 ;22.2 ;0 ;0 ;4.8;33.1;
1331 ;0:11.50 ;2851 ;8 ;96;33;79;0.753 ;14.7 ;13.8 ;0 ;13.5 ;-6 ;3.57 ;20.7 ;0 ;0 ;3.8;25.8;
1331 ;0:11.60 ;3213 ;8 ;96;33;77;0.778 ;15.2 ;15.6 ;0 ;13.5 ;2 ;3.80 ;21.8 ;0 ;0 ;4.6;29.6;
1331 ;0:11.70 ;3679 ;7 ;96;33;75;0.823 ;15.4 ;17.8 ;0 ;13.5 ;15 ;4.11 ;22.7 ;0 ;0 ;5.7;36.7;
1331 ;0:11.80 ;3665 ;7 ;96;33;76;0.778 ;14.6 ;17.8 ;6 ;13.2 ;21 ;4.11 ;22.6 ;0 ;0 ;5.7;39.0;
1331 ;0:11.90 ;3272 ;7 ;96;33;76;0.734 ;15.6 ;15.9 ;0 ;13.3 ;1 ;3.87 ;20.7 ;0 ;0 ;4.6;29.4;
1331 ;0:12.00 ;3119 ;7 ;96;33;74;0.745 ;16.4 ;15.1 ;0 ;13.5 ;-7 ;3.77 ;20.0 ;0 ;0 ;4.4;26.8;
1331 ;0:12.10 ;3762 ;7 ;96;33;72;0.797 ;15.7 ;18.2 ;0 ;13.6 ;15 ;4.17 ;23.0 ;0 ;0 ;5.9;37.5;
1331 ;0:12.20 ;4116 ;7 ;96;33;73;0.818 ;17.1 ;20.0 ;1 ;13.4 ;16 ;4.32 ;25.3 ;0 ;0 ;6.6;41.2;
1331 ;0:12.30 ;3838 ;8 ;96;33;75;0.781 ;16.7 ;18.6 ;0 ;13.5 ;11 ;4.10 ;24.3 ;0 ;0 ;5.9;35.3;
1331 ;0:12.40 ;3432 ;8 ;96;33;74;0.767 ;17.4 ;16.6 ;0 ;13.4 ;-4 ;3.91 ;22.7 ;0 ;0 ;5.1;29.3;
1331 ;0:12.50 ;3770 ;8 ;96;33;72;0.756 ;18.9 ;18.3 ;0 ;13.1 ;-3 ;4.07 ;24.0 ;0 ;0 ;5.9;31.2;
1331 ;0:12.60 ;4224 ;10 ;96;34;71;0.737 ;17.0 ;20.5 ;5 ;13.6 ;20 ;4.18 ;29.1 ;0 ;0 ;6.7;39.4;
1331 ;0:12.70 ;4359 ;10 ;95;34;71;0.754 ;17.8 ;21.1 ;3 ;13.5 ;18 ;4.18 ;30.4 ;0 ;0 ;6.9;38.7;
1331 ;0:12.80 ;4445 ;10 ;95;34;71;0.808 ;19.4 ;21.8 ;0 ;13.3 ;12 ;4.18 ;31.3 ;0 ;0 ;7.1;36.5;
1331 ;0:12.90 ;4489 ;10 ;95;34;72;0.801 ;18.8 ;21.8 ;0 ;13.5 ;15 ;4.18 ;31.7 ;0 ;0 ;7.1;39.4;
1331 ;0:13.00 ;4773 ;11 ;95;34;73;0.772 ;18.7 ;23.2 ;9 ;13.6 ;24 ;4.17 ;35.5 ;0 ;0 ;7.5;40.1;
1331 ;0:13.10 ;4848 ;17 ;95;34;76;0.739 ;17.6 ;23.5 ;18 ;13.5 ;33 ;3.72 ;36.6 ;0 ;0 ;6.6;37.5;
1331 ;0:13.20 ;4652 ;18 ;95;34;76;0.868 ;17.0 ;22.6 ;17 ;13.6 ;32 ;3.62 ;34.6 ;0 ;0 ;6.3;37.0;
1331 ;0:13.30 ;4833 ;18 ;95;34;76;0.930 ;17.3 ;23.4 ;20 ;13.3 ;35 ;3.62 ;35.9 ;0 ;0 ;6.6;38.1;
1331 ;0:13.40 ;4060 ;17 ;95;34;76;0.919 ;17.4 ;19.7 ;0 ;13.4 ;13 ;3.73 ;30.4 ;0 ;0 ;5.7;32.7;
1331 ;0:13.50 ;3956 ;13 ;95;34;70;0.938 ;17.5 ;19.2 ;0 ;13.7 ;9 ;4.16 ;30.0 ;0 ;0 ;6.2;35.4;
1331 ;0:13.60 ;4161 ;7 ;95;34;66;0.927 ;18.4 ;20.2 ;0 ;13.7 ;9 ;4.32 ;25.7 ;0 ;0 ;6.8;36.9;
1331 ;0:13.70 ;4377 ;7 ;95;34;65;0.903 ;19.7 ;21.2 ;0 ;13.2 ;7 ;4.32 ;27.7 ;0 ;0 ;7.2;36.5;
1331 ;0:13.80 ;4523 ;7 ;95;34;65;0.910 ;21.0 ;21.9 ;0 ;13.6 ;4 ;4.32 ;29.1 ;0 ;0 ;7.4;37.0;
1331 ;0:13.90 ;4575 ;7 ;95;34;64;0.904 ;21.8 ;22.2 ;0 ;13.3 ;1 ;4.32 ;29.6 ;0 ;0 ;7.5;34.4;
1331 ;0:14.00 ;4912 ;7 ;95;34;63;0.837 ;23.4 ;23.8 ;0 ;13.8 ;1 ;4.32 ;32.8 ;0 ;0 ;8.1;33.3;
1331 ;0:14.10 ;5305 ;7 ;95;34;63;0.787 ;25.1 ;25.7 ;0 ;13.6 ;2 ;4.32 ;37.5 ;0 ;0 ;8.6;34.2;
1331 ;0:14.20 ;4977 ;7 ;95;34;64;0.754 ;28.1 ;24.1 ;0 ;13.5 ;-14 ;4.32 ;33.4 ;0 ;0 ;8.1;28.8;
1331 ;0:14.30 ;5286 ;7 ;95;34;64;0.749 ;29.1 ;25.7 ;0 ;13.3 ;-11 ;4.32 ;37.2 ;0 ;0 ;8.6;29.5;
1331 ;0:14.40 ;5671 ;9 ;95;34;65;0.732 ;30.9 ;27.5 ;0 ;13.4 ;-11 ;4.17 ;46.2 ;0 ;0 ;8.9;28.8;
1331 ;0:14.50 ;5885 ;14 ;95;34;67;0.714 ;30.0 ;28.6 ;0 ;13.7 ;-4 ;3.90 ;51.8 ;0 ;0 ;8.6;27.8;
1331 ;0:14.60 ;6019 ;14 ;95;34;67;0.717 ;30.1 ;29.2 ;0 ;13.5 ;-2 ;3.86 ;53.5 ;0 ;0 ;8.8;29.2;
1331 ;0:14.70 ;5718 ;15 ;95;34;68;0.734 ;30.6 ;27.8 ;0 ;13.3 ;-9 ;3.79 ;46.9 ;0 ;0 ;8.2;27.3;
1331 ;0:14.80 ;5846 ;15 ;95;34;68;0.723 ;30.2 ;28.4 ;0 ;13.3 ;-5 ;3.78 ;48.4 ;0 ;0 ;8.3;27.4;
1331 ;0:14.90 ;5617 ;15 ;95;34;68;0.732 ;29.4 ;27.3 ;0 ;13.2 ;-7 ;3.82 ;45.7 ;0 ;0 ;8.1;27.2;
1331 ;0:15.00 ;5971 ;15 ;95;34;68;0.740 ;29.9 ;29.0 ;0 ;13.4 ;-3 ;3.75 ;49.8 ;0 ;0 ;8.5;27.5;
1331 ;0:15.10 ;5844 ;14 ;95;34;70;0.715 ;28.6 ;28.2 ;0 ;13.3 ;-1 ;3.91 ;50.8 ;0 ;0 ;8.6;29.3;
1331 ;0:15.20 ;5144 ;14 ;95;34;70;0.724 ;27.7 ;25.0 ;0 ;13.6 ;-9 ;4.02 ;41.2 ;0 ;0 ;7.8;26.7;
1331 ;0:15.30 ;5673 ;14 ;95;34;70;0.720 ;26.1 ;27.5 ;0 ;13.5 ;5 ;3.94 ;48.8 ;0 ;0 ;8.4;32.1;
