SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;SHIF A;
1361 ;31:12,60 ;7318 ;12 ;97;27;55;0,793 ;51,7 ;35,5 ;0 ;12,5 ;-31 ;3,08 ;57,2 ;0 ;
1361 ;31:12,70 ;7485 ;13 ;97;27;57;0,821 ;52,1 ;36,3 ;0 ;12,5 ;-30 ;2,91 ;57,8 ;0 ;
1361 ;31:12,80 ;7485 ;13 ;97;27;57;0,821 ;52,1 ;36,3 ;0 ;12,5 ;-30 ;2,91 ;57,8 ;0 ;
1361 ;31:12,90 ;7329 ;14 ;97;27;60;0,831 ;48,3 ;35,6 ;0 ;12,4 ;-26 ;2,95 ;56,7 ;0 ;
1361 ;31:13,00 ;7329 ;14 ;97;27;60;0,831 ;48,3 ;35,6 ;0 ;12,4 ;-26 ;2,95 ;56,7 ;0 ;
1361 ;31:13,10 ;7370 ;16 ;97;27;63;0,822 ;52,6 ;35,8 ;0 ;12,5 ;-31 ;2,99 ;55,7 ;0 ;
1361 ;31:13,20 ;7370 ;16 ;97;27;63;0,822 ;52,6 ;35,8 ;0 ;12,5 ;-31 ;2,99 ;55,7 ;0 ;
1361 ;31:13,30 ;7295 ;18 ;97;27;67;0,822 ;47,1 ;35,4 ;0 ;12,5 ;-24 ;3,05 ;54,2 ;0 ;
1361 ;31:13,40 ;7295 ;18 ;97;27;67;0,822 ;47,1 ;35,4 ;0 ;12,5 ;-24 ;3,05 ;54,2 ;0 ;
1361 ;31:13,50 ;7131 ;25 ;97;27;70;0,807 ;50,9 ;34,6 ;0 ;12,3 ;-32 ;3,47 ;52,1 ;0 ;
1361 ;31:13,60 ;7131 ;25 ;97;27;70;0,807 ;50,9 ;34,6 ;0 ;12,3 ;-32 ;3,47 ;52,1 ;0 ;
1361 ;31:13,70 ;7072 ;25 ;97;27;70;0,784 ;48,2 ;34,3 ;0 ;12,5 ;-28 ;3,47 ;51,9 ;0 ;
1361 ;31:13,80 ;7072 ;25 ;97;27;70;0,784 ;48,2 ;34,3 ;0 ;12,5 ;-28 ;3,47 ;51,9 ;0 ;
1361 ;31:13,90 ;7170 ;25 ;97;27;69;1,142 ;48,6 ;34,8 ;0 ;12,5 ;-28 ;3,47 ;52,3 ;0 ;
1361 ;31:14,00 ;7170 ;25 ;97;27;69;1,142 ;48,6 ;34,8 ;0 ;12,5 ;-28 ;3,47 ;52,3 ;0 ;
1361 ;31:14,10 ;6623 ;24 ;97;27;70;1,176 ;50,4 ;32,2 ;0 ;12,5 ;-36 ;3,52 ;46,1 ;0 ;
1361 ;31:14,20 ;6623 ;24 ;97;27;70;1,176 ;50,4 ;32,2 ;0 ;12,5 ;-36 ;3,52 ;46,1 ;0 ;
1361 ;31:14,30 ;7703 ;33 ;97;27;65;0,837 ;44,3 ;37,4 ;0 ;12,1 ;-15 ;5,66 ;53,7 ;0 ;
1361 ;31:14,40 ;7703 ;33 ;97;27;65;0,837 ;44,3 ;37,4 ;0 ;12,1 ;-15 ;5,66 ;53,7 ;0 ;
1361 ;31:14,50 ;8589 ;31 ;97;27;60;0,788 ;47,0 ;41,7 ;0 ;11,7 ;-11 ;3,74 ;50,6 ;1 ;
1361 ;31:14,60 ;8589 ;31 ;97;27;60;0,788 ;47,0 ;41,7 ;0 ;11,7 ;-11 ;3,74 ;50,6 ;1 ;
1361 ;31:14,70 ;8971 ;31 ;97;27;61;0,777 ;45,7 ;43,6 ;0 ;12,5 ;-4 ;3,72 ;46,4 ;0 ;
1361 ;31:14,80 ;8971 ;31 ;97;27;61;0,777 ;45,7 ;43,6 ;0 ;12,5 ;-4 ;3,72 ;46,4 ;0 ;
1361 ;31:14,90 ;8749 ;30 ;97;27;61;0,765 ;42,2 ;42,5 ;0 ;12,2 ;0 ;3,66 ;49,2 ;0 ;
1361 ;31:15,00 ;8749 ;30 ;97;27;61;0,765 ;42,2 ;42,5 ;0 ;12,2 ;0 ;3,66 ;49,2 ;0 ;
1361 ;31:15,10 ;8672 ;30 ;97;27;62;0,748 ;41,5 ;42,1 ;0 ;12,3 ;1 ;3,66 ;50,0 ;0 ;
1361 ;31:15,20 ;8672 ;30 ;97;27;62;0,748 ;41,5 ;42,1 ;0 ;12,3 ;1 ;3,66 ;50,0 ;0 ;
1361 ;31:15,30 ;8296 ;28 ;97;27;61;0,745 ;43,1 ;40,3 ;0 ;12,4 ;-6 ;3,56 ;53,7 ;0 ;
1361 ;31:15,40 ;8296 ;28 ;97;27;61;0,745 ;43,1 ;40,3 ;0 ;12,4 ;-6 ;3,56 ;53,7 ;0 ;
1361 ;31:15,50 ;8256 ;27 ;97;27;60;0,738 ;40,2 ;40,1 ;0 ;12,3 ;0 ;3,49 ;54,0 ;0 ;
1361 ;31:15,60 ;8256 ;27 ;97;27;60;0,738 ;40,2 ;40,1 ;0 ;12,3 ;0 ;3,49 ;54,0 ;0 ;
1361 ;31:15,70 ;8461 ;27 ;97;27;59;0,735 ;43,1 ;41,1 ;0 ;12,3 ;-4 ;3,48 ;52,5 ;0 ;
1361 ;31:15,80 ;8461 ;27 ;97;27;59;0,735 ;43,1 ;41,1 ;0 ;12,3 ;-4 ;3,48 ;52,5 ;0 ;
1361 ;31:15,90 ;8499 ;26 ;97;27;59;0,725 ;41,4 ;41,5 ;0 ;12,3 ;0 ;3,40 ;52,1 ;0 ;
1361 ;31:16,00 ;8499 ;26 ;97;27;59;0,725 ;41,4 ;41,5 ;0 ;12,3 ;0 ;3,40 ;52,1 ;0 ;
1361 ;31:16,10 ;8461 ;26 ;97;27;59;0,727 ;39,6 ;41,1 ;0 ;12,5 ;3 ;3,41 ;52,6 ;0 ;
1361 ;31:16,20 ;8461 ;26 ;97;27;59;0,727 ;39,6 ;41,1 ;0 ;12,5 ;3 ;3,41 ;52,6 ;0 ;
1361 ;31:16,30 ;8322 ;25 ;97;27;59;0,729 ;37,3 ;40,4 ;0 ;12,4 ;8 ;3,36 ;53,6 ;0 ;
1361 ;31:16,40 ;8322 ;25 ;97;27;59;0,729 ;37,3 ;40,4 ;0 ;12,4 ;8 ;3,36 ;53,6 ;0 ;
