SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;SHIF A;
152 ;0:01.07 ;1642 ;0 ;0.966 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.08 ;1642 ;0 ;0.952 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.09 ;1555 ;0 ;0.957 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.10 ;1555 ;0 ;0.951 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.11 ;1618 ;0 ;0.955 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.12 ;1618 ;0 ;0.946 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.13 ;1634 ;0 ;0.954 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.14 ;1634 ;0 ;0.949 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.15 ;1697 ;0 ;0.954 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.16 ;1697 ;0 ;0.950 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.17 ;1624 ;0 ;0.948 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.18 ;1522 ;0 ;0.951 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.19 ;1522 ;0 ;0.949 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.20 ;1594 ;0 ;0.950 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.21 ;1594 ;0 ;0.951 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.22 ;1604 ;0 ;0.949 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.23 ;1604 ;0 ;0.950 ;2.3 ;0.0 ;0 ;0 ;
152 ;0:01.24 ;1680 ;0 ;0.947 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.25 ;1680 ;0 ;0.917 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.26 ;1684 ;0 ;0.919 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.27 ;1684 ;0 ;0.913 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.28 ;1596 ;0 ;0.921 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.29 ;1572 ;0 ;0.917 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.30 ;1572 ;0 ;0.922 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.31 ;1511 ;0 ;0.919 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.32 ;1511 ;0 ;0.923 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.33 ;1535 ;0 ;0.894 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.34 ;1535 ;0 ;0.898 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.35 ;1668 ;0 ;0.894 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.36 ;1668 ;0 ;0.896 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.37 ;1576 ;0 ;0.896 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.38 ;1576 ;0 ;0.890 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.39 ;1522 ;0 ;0.897 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.40 ;1522 ;0 ;0.888 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.41 ;1519 ;0 ;0.908 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.42 ;1519 ;0 ;0.895 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.43 ;1465 ;0 ;0.908 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.44 ;1465 ;0 ;0.899 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.45 ;1523 ;0 ;0.906 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.46 ;1523 ;0 ;0.898 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.47 ;1443 ;0 ;0.905 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.48 ;1443 ;0 ;0.902 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.49 ;1401 ;0 ;0.898 ;2.2 ;0.0 ;0 ;0 ;
152 ;0:01.50 ;1401 ;0 ;0.894 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.51 ;1485 ;0 ;0.898 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.52 ;1485 ;0 ;0.899 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.53 ;1463 ;0 ;0.899 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.54 ;1463 ;0 ;0.898 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.55 ;1484 ;0 ;0.901 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.56 ;1484 ;0 ;0.898 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.57 ;1384 ;0 ;0.908 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.58 ;1384 ;0 ;0.909 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.59 ;1417 ;0 ;0.915 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.60 ;1417 ;0 ;0.909 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.61 ;1475 ;0 ;0.912 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.62 ;1475 ;0 ;0.912 ;2.1 ;0.0 ;0 ;0 ;
152 ;0:01.63 ;1387 ;0 ;0.911 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.64 ;1387 ;0 ;0.913 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.65 ;1389 ;0 ;0.911 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.66 ;1389 ;0 ;0.920 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.67 ;1389 ;0 ;0.915 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.68 ;1326 ;0 ;0.920 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.69 ;1326 ;0 ;0.911 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.70 ;1264 ;0 ;0.918 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.71 ;1264 ;0 ;0.915 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.72 ;1295 ;0 ;0.917 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.73 ;1295 ;0 ;0.919 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.74 ;1215 ;0 ;0.913 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.75 ;1215 ;0 ;0.916 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.76 ;1215 ;0 ;0.908 ;2.0 ;0.0 ;0 ;0 ;
152 ;0:01.77 ;1263 ;0 ;0.916 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.78 ;1263 ;0 ;0.912 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.79 ;1263 ;0 ;0.914 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.80 ;1263 ;0 ;0.915 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.81 ;1263 ;0 ;0.913 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.82 ;1167 ;0 ;0.902 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.83 ;1167 ;0 ;0.894 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.84 ;1147 ;0 ;0.903 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.85 ;1147 ;0 ;0.898 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.86 ;1147 ;0 ;0.902 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.87 ;1253 ;0 ;0.900 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.88 ;1253 ;0 ;0.900 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.89 ;1360 ;0 ;0.902 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.90 ;1360 ;0 ;0.893 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.91 ;1360 ;0 ;0.896 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.92 ;1385 ;0 ;0.892 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.93 ;1385 ;0 ;0.893 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.94 ;1323 ;0 ;0.891 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.95 ;1323 ;0 ;0.886 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.96 ;1321 ;0 ;0.893 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.97 ;1321 ;0 ;0.893 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.98 ;1297 ;0 ;0.886 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:01.99 ;1297 ;0 ;0.882 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:02.00 ;1310 ;0 ;0.881 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:02.01 ;1310 ;0 ;0.882 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:02.02 ;1310 ;0 ;0.878 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:02.03 ;1390 ;0 ;0.881 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:02.04 ;1390 ;0 ;0.883 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:02.05 ;1494 ;0 ;0.884 ;1.9 ;0.0 ;0 ;0 ;
152 ;0:02.06 ;1494 ;0 ;0.882 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.07 ;1577 ;0 ;0.881 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.08 ;1577 ;0 ;0.878 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.09 ;1589 ;0 ;0.882 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.10 ;1589 ;0 ;0.877 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.11 ;1602 ;0 ;0.882 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.12 ;1602 ;0 ;0.875 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.13 ;1650 ;0 ;0.880 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.14 ;1650 ;0 ;0.876 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.15 ;1690 ;0 ;0.873 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.16 ;1690 ;0 ;0.866 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.17 ;1757 ;0 ;0.872 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.18 ;1836 ;0 ;0.872 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.19 ;1836 ;0 ;0.871 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.20 ;1906 ;0 ;0.876 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.21 ;1906 ;0 ;0.865 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.22 ;1957 ;0 ;0.873 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.23 ;1980 ;0 ;0.881 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.24 ;1980 ;0 ;0.877 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.25 ;1990 ;0 ;0.882 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.26 ;2069 ;0 ;0.877 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.27 ;2069 ;0 ;0.881 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.28 ;2116 ;0 ;0.878 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.29 ;2139 ;0 ;0.882 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.30 ;2139 ;0 ;0.873 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.31 ;2178 ;0 ;0.874 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.32 ;2200 ;0 ;0.875 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.33 ;2200 ;0 ;0.868 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.34 ;2207 ;0 ;0.873 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.35 ;2222 ;0 ;0.873 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.36 ;2227 ;0 ;0.877 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.37 ;2227 ;0 ;0.865 ;1.7 ;0.0 ;0 ;0 ;
152 ;0:02.38 ;2270 ;0 ;0.874 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.39 ;2269 ;0 ;0.867 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.40 ;2282 ;0 ;0.867 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.41 ;2282 ;0 ;0.862 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.42 ;2334 ;0 ;0.864 ;1.5 ;0.0 ;0 ;0 ;
