SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;TRAC %;SLIP%;INJ;ADV;GEAR;
451 ;0:13.40 ;6569 ;5 ;86;11;50;0.930 ;45.0 ;31.9 ;0.850 ;0 ;-29 ;3.67 ;39.6 ;1 ;
451 ;0:13.50 ;6653 ;5 ;86;11;50;0.913 ;43.7 ;32.3 ;0.850 ;0 ;-26 ;3.66 ;39.7 ;1 ;
451 ;0:13.60 ;6710 ;5 ;86;11;51;0.906 ;48.8 ;32.6 ;0.850 ;0 ;-33 ;3.65 ;39.8 ;1 ;
451 ;0:13.70 ;6865 ;6 ;86;11;52;0.860 ;48.7 ;33.3 ;0.850 ;0 ;-31 ;3.51 ;45.0 ;1 ;
451 ;0:13.80 ;6883 ;7 ;86;11;53;0.889 ;48.5 ;33.4 ;0.850 ;0 ;-31 ;3.39 ;50.1 ;1 ;
451 ;0:13.90 ;6983 ;9 ;87;11;54;0.872 ;46.8 ;33.9 ;0.850 ;0 ;-27 ;3.34 ;55.8 ;1 ;
451 ;0:14.00 ;7067 ;11 ;87;11;56;0.819 ;46.6 ;34.3 ;0.850 ;0 ;-26 ;3.60 ;56.2 ;1 ;
451 ;0:14.10 ;7054 ;12 ;87;11;57;0.847 ;46.3 ;34.2 ;0.850 ;0 ;-26 ;3.71 ;56.2 ;1 ;
451 ;0:14.20 ;7175 ;14 ;87;11;58;0.828 ;47.0 ;34.8 ;0.850 ;0 ;-25 ;4.04 ;56.0 ;1 ;
451 ;0:14.30 ;7370 ;15 ;87;11;59;0.854 ;48.5 ;35.8 ;0.850 ;0 ;-26 ;4.29 ;56.3 ;1 ;
451 ;0:14.40 ;7419 ;17 ;87;11;60;0.857 ;49.6 ;36.0 ;0.850 ;0 ;-27 ;4.67 ;55.5 ;1 ;
451 ;0:14.50 ;7402 ;17 ;87;11;59;0.827 ;49.6 ;35.9 ;0.850 ;0 ;-27 ;4.66 ;55.4 ;1 ;
451 ;0:14.60 ;7387 ;17 ;87;11;60;0.792 ;49.6 ;35.9 ;0.850 ;0 ;-27 ;4.65 ;55.3 ;1 ;
451 ;0:14.70 ;7446 ;17 ;87;11;61;0.795 ;51.6 ;36.2 ;0.850 ;0 ;-29 ;4.68 ;55.6 ;1 ;
451 ;0:14.80 ;7402 ;19 ;87;11;62;0.795 ;50.2 ;35.9 ;0.850 ;0 ;-28 ;4.90 ;54.6 ;1 ;
451 ;0:14.90 ;7455 ;20 ;87;11;62;0.766 ;49.4 ;36.2 ;0.850 ;0 ;-26 ;5.01 ;54.7 ;1 ;
451 ;0:15.00 ;7584 ;21 ;87;11;63;0.752 ;48.8 ;36.8 ;0.850 ;0 ;-24 ;5.15 ;55.0 ;1 ;
451 ;0:15.10 ;7634 ;21 ;87;11;64;0.738 ;51.2 ;37.1 ;0.850 ;0 ;-27 ;5.17 ;55.2 ;1 ;
451 ;0:15.20 ;7621 ;23 ;87;11;65;0.738 ;52.1 ;37.0 ;0.850 ;0 ;-28 ;5.31 ;54.6 ;1 ;
451 ;0:15.30 ;7770 ;24 ;87;11;66;0.716 ;52.9 ;37.7 ;0.850 ;0 ;-28 ;5.45 ;55.0 ;1 ;
451 ;0:15.40 ;7735 ;25 ;87;11;66;0.723 ;52.6 ;37.6 ;0.850 ;0 ;-28 ;5.50 ;54.4 ;1 ;
451 ;0:15.50 ;7687 ;25 ;87;11;67;0.740 ;50.1 ;37.3 ;0.850 ;0 ;-25 ;5.48 ;54.3 ;1 ;
451 ;0:15.60 ;7700 ;26 ;87;11;67;0.734 ;51.8 ;37.4 ;0.850 ;0 ;-27 ;5.53 ;54.3 ;1 ;
451 ;0:15.70 ;7609 ;26 ;87;11;67;0.745 ;50.6 ;36.9 ;0.850 ;0 ;-27 ;5.48 ;53.9 ;1 ;
451 ;0:15.80 ;7584 ;26 ;87;11;67;0.738 ;55.7 ;36.8 ;0.850 ;0 ;-33 ;5.47 ;53.7 ;1 ;
