SESSION; TIME;RPM;THROT;ANA1;L U SP;L D SP;SHIF A;
316 ;0:27.51 ;4179 ;0 ;0 ;29.3 ;0.0 ;0 ;
316 ;0:27.52 ;4224 ;0 ;0 ;29.8 ;0.0 ;0 ;
316 ;0:27.53 ;4270 ;0 ;0 ;31.6 ;0.0 ;0 ;
316 ;0:27.54 ;4297 ;0 ;0 ;30.2 ;0.0 ;0 ;
316 ;0:27.55 ;4372 ;0 ;0 ;31.5 ;0.0 ;0 ;
316 ;0:27.56 ;4411 ;0 ;0 ;31.8 ;0.0 ;0 ;
316 ;0:27.57 ;4473 ;0 ;0 ;31.2 ;0.0 ;0 ;
316 ;0:27.58 ;4494 ;0 ;0 ;31.4 ;0.0 ;0 ;
316 ;0:27.59 ;4531 ;0 ;0 ;32.7 ;0.0 ;0 ;
316 ;0:27.60 ;4547 ;0 ;0 ;31.4 ;0.0 ;0 ;
316 ;0:27.61 ;4584 ;0 ;0 ;32.4 ;0.0 ;0 ;
316 ;0:27.62 ;4595 ;0 ;0 ;32.4 ;0.0 ;0 ;
316 ;0:27.63 ;4649 ;0 ;0 ;32.0 ;0.0 ;0 ;
316 ;0:27.64 ;4689 ;0 ;0 ;32.0 ;0.0 ;0 ;
316 ;0:27.65 ;4751 ;0 ;0 ;33.6 ;0.0 ;0 ;
316 ;0:27.66 ;4769 ;0 ;0 ;32.5 ;0.0 ;0 ;
316 ;0:27.67 ;4827 ;0 ;0 ;35.1 ;0.0 ;0 ;
316 ;0:27.68 ;4885 ;0 ;0 ;32.5 ;0.0 ;0 ;
316 ;0:27.69 ;4918 ;0 ;0 ;33.2 ;0.0 ;0 ;
316 ;0:27.70 ;4930 ;0 ;0 ;33.1 ;0.0 ;0 ;
316 ;0:27.71 ;4917 ;0 ;0 ;33.0 ;0.0 ;0 ;
316 ;0:27.72 ;4900 ;0 ;0 ;34.1 ;0.0 ;0 ;
316 ;0:27.73 ;4873 ;0 ;0 ;35.1 ;0.0 ;0 ;
316 ;0:27.74 ;4873 ;0 ;0 ;34.5 ;0.0 ;0 ;
316 ;0:27.75 ;4844 ;0 ;0 ;32.5 ;0.0 ;0 ;
316 ;0:27.76 ;4817 ;0 ;0 ;34.6 ;0.0 ;0 ;
316 ;0:27.77 ;4797 ;0 ;0 ;34.8 ;0.0 ;0 ;
316 ;0:27.78 ;4796 ;0 ;0 ;33.1 ;0.0 ;0 ;
316 ;0:27.79 ;4815 ;0 ;0 ;33.6 ;0.0 ;0 ;
316 ;0:27.80 ;4834 ;0 ;0 ;34.1 ;0.0 ;0 ;
316 ;0:27.81 ;4873 ;0 ;0 ;33.1 ;0.0 ;0 ;
316 ;0:27.82 ;4885 ;0 ;0 ;34.5 ;0.0 ;0 ;
316 ;0:27.83 ;4931 ;0 ;0 ;34.6 ;0.0 ;0 ;
316 ;0:27.84 ;4988 ;0 ;0 ;36.1 ;0.0 ;0 ;
316 ;0:27.85 ;5024 ;0 ;0 ;32.6 ;0.0 ;0 ;
316 ;0:27.86 ;5062 ;0 ;0 ;35.6 ;0.0 ;0 ;
316 ;0:27.87 ;5082 ;0 ;0 ;31.5 ;0.0 ;0 ;
