SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;
399 ;2:01.59 ;6939 ;21 ;0.710 ;0.850 ;4.86 ;28 ;
399 ;2:01.60 ;6936 ;21 ;0.709 ;0.850 ;4.81 ;28 ;
399 ;2:01.61 ;6952 ;21 ;0.708 ;0.850 ;4.85 ;28 ;
399 ;2:01.62 ;6929 ;21 ;0.712 ;0.850 ;4.87 ;28 ;
399 ;2:01.63 ;6926 ;21 ;0.700 ;0.850 ;4.87 ;28 ;
399 ;2:01.64 ;6888 ;21 ;0.705 ;0.850 ;4.90 ;28 ;
399 ;2:01.65 ;6815 ;21 ;0.707 ;0.850 ;4.95 ;28 ;
399 ;2:01.66 ;6749 ;21 ;0.703 ;0.850 ;5.00 ;28 ;
399 ;2:01.67 ;6660 ;21 ;0.702 ;0.850 ;5.06 ;28 ;
399 ;2:01.68 ;6773 ;21 ;0.701 ;0.850 ;4.98 ;28 ;
399 ;2:01.69 ;6949 ;21 ;0.708 ;0.850 ;4.85 ;28 ;
399 ;2:01.70 ;7022 ;21 ;0.701 ;0.850 ;4.82 ;28 ;
399 ;2:01.71 ;7054 ;21 ;0.715 ;0.850 ;4.84 ;28 ;
399 ;2:01.72 ;7014 ;21 ;0.715 ;0.850 ;4.81 ;28 ;
399 ;2:01.73 ;6957 ;21 ;0.711 ;0.850 ;4.85 ;28 ;
399 ;2:01.74 ;6934 ;21 ;0.713 ;0.850 ;4.86 ;28 ;
399 ;2:01.75 ;6921 ;21 ;0.714 ;0.850 ;4.87 ;28 ;
399 ;2:01.76 ;6888 ;21 ;0.714 ;0.850 ;4.90 ;28 ;
399 ;2:01.77 ;6828 ;21 ;0.709 ;0.850 ;4.95 ;28 ;
399 ;2:01.78 ;6813 ;21 ;0.716 ;0.850 ;4.95 ;28 ;
399 ;2:01.79 ;6813 ;21 ;0.716 ;0.850 ;4.95 ;28 ;
399 ;2:01.80 ;6865 ;21 ;0.716 ;0.850 ;4.92 ;28 ;
399 ;2:01.81 ;6895 ;21 ;0.715 ;0.850 ;4.89 ;28 ;
399 ;2:01.82 ;6936 ;21 ;0.717 ;0.850 ;4.86 ;28 ;
399 ;2:01.83 ;6962 ;21 ;0.716 ;0.850 ;4.84 ;28 ;
399 ;2:01.84 ;6916 ;21 ;0.713 ;0.850 ;4.88 ;28 ;
399 ;2:01.85 ;6868 ;21 ;0.718 ;0.850 ;4.92 ;28 ;
399 ;2:01.86 ;6895 ;21 ;0.715 ;0.850 ;4.89 ;28 ;
399 ;2:01.87 ;6952 ;21 ;0.719 ;0.850 ;4.85 ;28 ;
399 ;2:01.88 ;6883 ;21 ;0.719 ;0.850 ;4.90 ;28 ;
399 ;2:01.89 ;6815 ;21 ;0.722 ;0.850 ;4.95 ;28 ;
399 ;2:01.90 ;6845 ;21 ;0.717 ;0.850 ;4.93 ;28 ;
399 ;2:01.91 ;6900 ;21 ;0.717 ;0.850 ;4.89 ;28 ;
399 ;2:01.92 ;6906 ;21 ;0.722 ;0.850 ;4.88 ;28 ;
399 ;2:01.93 ;6926 ;21 ;0.717 ;0.850 ;4.87 ;28 ;
399 ;2:01.94 ;7006 ;21 ;0.720 ;0.850 ;4.81 ;28 ;
399 ;2:01.95 ;6959 ;21 ;0.724 ;0.850 ;4.84 ;28 ;
399 ;2:01.96 ;6880 ;21 ;0.727 ;0.850 ;4.90 ;28 ;
399 ;2:01.97 ;6843 ;21 ;0.721 ;0.850 ;4.94 ;28 ;
399 ;2:01.98 ;6853 ;21 ;0.726 ;0.850 ;4.93 ;28 ;
399 ;2:01.99 ;6926 ;21 ;0.727 ;0.850 ;4.87 ;28 ;
399 ;2:02.00 ;6918 ;21 ;0.721 ;0.850 ;4.87 ;28 ;
399 ;2:02.01 ;6828 ;21 ;0.725 ;0.850 ;4.95 ;28 ;
399 ;2:02.02 ;6860 ;21 ;0.724 ;0.850 ;4.92 ;28 ;
399 ;2:02.03 ;6860 ;21 ;0.730 ;0.850 ;4.92 ;28 ;
399 ;2:02.04 ;6878 ;21 ;0.726 ;0.850 ;4.90 ;28 ;
399 ;2:02.05 ;6906 ;21 ;0.734 ;0.850 ;4.88 ;28 ;
399 ;2:02.06 ;6860 ;21 ;0.732 ;0.850 ;4.92 ;28 ;
399 ;2:02.07 ;6873 ;21 ;0.728 ;0.850 ;4.84 ;28 ;
399 ;2:02.08 ;6978 ;21 ;0.732 ;0.850 ;4.83 ;28 ;
399 ;2:02.09 ;7038 ;21 ;0.732 ;0.850 ;4.83 ;28 ;
399 ;2:02.10 ;7104 ;21 ;0.730 ;0.850 ;4.87 ;28 ;
399 ;2:02.11 ;6993 ;21 ;0.731 ;0.850 ;4.82 ;28 ;
399 ;2:02.12 ;6900 ;21 ;0.748 ;0.850 ;4.89 ;28 ;
399 ;2:02.13 ;6840 ;21 ;0.740 ;0.850 ;4.94 ;28 ;
