SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;
147 ;1:12.10 ;4944 ;5 ;0.831 ;7.5 ;0.0 ;0.900 ;0 ;3.80 ;30.7 ;0 ;0 ;15 ;81.8;
147 ;1:12.20 ;5218 ;5 ;0.794 ;8.5 ;0.0 ;0.900 ;0 ;3.77 ;32.8 ;0 ;0 ;16 ;81.5;
147 ;1:12.30 ;5516 ;5 ;0.739 ;8.7 ;0.0 ;0.900 ;0 ;3.72 ;35.0 ;0 ;0 ;17 ;89.6;
147 ;1:12.40 ;5839 ;5 ;0.829 ;8.9 ;0.0 ;0.900 ;0 ;3.67 ;37.4 ;0 ;0 ;18 ;92.1;
147 ;1:12.50 ;5644 ;5 ;0.850 ;8.9 ;0.0 ;0.900 ;0 ;3.70 ;36.0 ;0 ;0 ;17 ;87.6;
147 ;1:12.60 ;5043 ;5 ;0.847 ;9.1 ;0.0 ;0.900 ;0 ;3.80 ;31.1 ;0 ;0 ;15 ;73.6;
147 ;1:12.70 ;4395 ;5 ;0.850 ;9.4 ;0.0 ;0.900 ;0 ;3.80 ;26.0 ;0 ;0 ;13 ;65.2;
147 ;1:12.80 ;3630 ;4 ;0.867 ;9.8 ;0.0 ;0.900 ;0 ;3.66 ;19.4 ;0 ;0 ;10 ;51.5;
147 ;1:12.90 ;3305 ;3 ;0.879 ;9.1 ;0.0 ;0.900 ;0 ;3.41 ;15.0 ;0 ;0 ;9 ;46.1;
147 ;1:13.00 ;3182 ;2 ;0.890 ;10.2 ;0.0 ;0.900 ;0 ;3.15 ;12.3 ;0 ;0 ;8 ;36.0;
147 ;1:13.10 ;3076 ;1 ;0.899 ;10.2 ;0.0 ;0.900 ;0 ;2.88 ;10.0 ;0 ;0 ;7 ;33.6;
147 ;1:13.20 ;3132 ;0 ;0.913 ;10.2 ;0.0 ;0.900 ;0 ;2.63 ;8.3 ;0 ;0 ;6 ;29.5;
147 ;1:13.30 ;3169 ;0 ;0.920 ;10.7 ;0.0 ;0.900 ;0 ;2.64 ;8.5 ;0 ;0 ;7 ;28.9;
147 ;1:13.40 ;3175 ;0 ;0.927 ;10.1 ;0.0 ;0.900 ;0 ;2.64 ;8.5 ;0 ;0 ;6 ;29.2;
147 ;1:13.50 ;3201 ;0 ;0.919 ;10.5 ;0.0 ;0.900 ;0 ;2.64 ;8.6 ;0 ;0 ;7 ;30.4;
147 ;1:13.60 ;3252 ;0 ;0.911 ;10.8 ;0.0 ;0.900 ;0 ;2.65 ;8.7 ;0 ;0 ;7 ;30.4;
