SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;
623 ;1:25.60 ;7754 ;14 ;92;21;52;0.500 ;737 ;49.0 ;37.6 ;0.850 ;0 ;12.6 ;-23 ;1 ;0 ;25 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.70 ;7958 ;11 ;92;21;48;0.500 ;751 ;34.6 ;38.6 ;0.850 ;0 ;12.8 ;11 ;1 ;0 ;24 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.80 ;8230 ;8 ;92;21;46;0.500 ;783 ;41.8 ;40.0 ;0.850 ;0 ;11.4 ;-4 ;1 ;0 ;22 ;0.0 ;0.0 ;0.0 ;
623 ;1:25.90 ;8518 ;5 ;92;21;46;0.502 ;831 ;39.6 ;41.4 ;0.850 ;0 ;12.5 ;4 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.00 ;8461 ;5 ;92;21;48;0.500 ;737 ;41.9 ;41.3 ;0.850 ;0 ;12.5 ;-1 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.10 ;8737 ;11 ;92;21;55;0.500 ;726 ;44.0 ;42.4 ;0.850 ;0 ;12.6 ;-3 ;1 ;0 ;25 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.20 ;8737 ;23 ;92;21;59;0.500 ;729 ;43.4 ;42.4 ;0.850 ;0 ;12.3 ;-2 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.30 ;8733 ;23 ;92;21;58;0.500 ;730 ;38.9 ;42.2 ;0.850 ;0 ;12.4 ;8 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.40 ;8628 ;23 ;92;21;58;0.500 ;729 ;44.0 ;41.9 ;0.850 ;0 ;12.4 ;-4 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.50 ;8724 ;22 ;92;20;57;0.500 ;733 ;44.2 ;42.1 ;0.850 ;0 ;12.6 ;-4 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.60 ;8636 ;21 ;92;20;57;0.500 ;734 ;45.1 ;41.9 ;0.850 ;0 ;12.4 ;-7 ;1 ;0 ;30 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.70 ;8569 ;21 ;92;20;57;0.501 ;738 ;43.5 ;41.6 ;0.850 ;0 ;12.6 ;-4 ;1 ;0 ;30 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.80 ;8604 ;21 ;92;20;57;0.500 ;757 ;46.4 ;41.8 ;0.850 ;0 ;12.6 ;-9 ;1 ;0 ;30 ;0.0 ;0.0 ;0.0 ;
623 ;1:26.90 ;8628 ;21 ;92;20;57;0.500 ;819 ;44.1 ;41.9 ;0.850 ;0 ;12.4 ;-4 ;1 ;0 ;30 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.00 ;8696 ;21 ;92;20;58;0.500 ;729 ;43.9 ;42.2 ;0.850 ;0 ;12.3 ;-3 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.10 ;8815 ;23 ;92;20;58;0.500 ;730 ;42.8 ;42.8 ;0.850 ;0 ;12.4 ;0 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.20 ;8836 ;23 ;92;20;58;0.500 ;730 ;44.9 ;42.9 ;0.850 ;0 ;12.6 ;-4 ;1 ;0 ;32 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.30 ;8802 ;23 ;92;20;59;0.500 ;731 ;43.7 ;42.7 ;0.850 ;0 ;12.4 ;-2 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.40 ;8802 ;23 ;92;20;59;0.500 ;730 ;43.1 ;42.7 ;0.850 ;0 ;12.4 ;0 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.50 ;8530 ;23 ;92;20;60;0.500 ;726 ;40.8 ;41.4 ;0.850 ;0 ;12.5 ;1 ;1 ;0 ;31 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.60 ;8234 ;23 ;92;20;59;0.500 ;730 ;40.1 ;39.7 ;0.850 ;0 ;12.4 ;0 ;1 ;0 ;30 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.70 ;7995 ;18 ;92;20;55;0.500 ;726 ;42.0 ;38.8 ;0.850 ;0 ;12.3 ;-7 ;1 ;0 ;28 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.80 ;8514 ;17 ;92;20;53;0.500 ;729 ;41.9 ;41.3 ;0.850 ;0 ;12.5 ;-1 ;1 ;0 ;29 ;0.0 ;0.0 ;0.0 ;
623 ;1:27.90 ;8263 ;16 ;92;20;53;0.503 ;736 ;40.5 ;40.1 ;0.850 ;0 ;12.6 ;0 ;1 ;0 ;28 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.00 ;8064 ;15 ;92;20;52;0.501 ;735 ;42.9 ;39.2 ;0.850 ;0 ;12.5 ;-8 ;1 ;0 ;27 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.10 ;8173 ;14 ;92;20;49;0.502 ;731 ;42.8 ;39.7 ;0.850 ;0 ;12.5 ;-7 ;1 ;0 ;27 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.20 ;8363 ;11 ;92;20;46;0.502 ;729 ;44.6 ;40.6 ;0.850 ;0 ;12.5 ;-8 ;1 ;0 ;25 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.30 ;8348 ;8 ;92;20;44;0.501 ;736 ;46.1 ;40.5 ;0.850 ;0 ;12.5 ;-12 ;1 ;0 ;21 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.40 ;8542 ;4 ;92;20;41;0.502 ;738 ;48.8 ;41.5 ;0.850 ;0 ;12.5 ;-14 ;1 ;0 ;6 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.50 ;8984 ;2 ;92;20;40;0.502 ;734 ;47.1 ;43.6 ;0.850 ;0 ;12.5 ;-7 ;1 ;0 ;6 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.60 ;9227 ;0 ;92;20;39;0.501 ;737 ;47.9 ;44.8 ;0.850 ;0 ;12.4 ;-6 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.70 ;9654 ;0 ;92;20;40;0.500 ;735 ;49.7 ;47.2 ;0.850 ;0 ;12.3 ;-5 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.80 ;10279 ;0 ;92;20;41;0.501 ;741 ;54.2 ;49.9 ;0.850 ;0 ;12.4 ;-7 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
623 ;1:28.90 ;10888 ;0 ;92;21;44;0.501 ;759 ;47.6 ;52.9 ;0.850 ;0 ;12.4 ;11 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.00 ;11167 ;8 ;92;21;53;0.501 ;816 ;53.1 ;54.2 ;0.850 ;0 ;12.4 ;2 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.10 ;11247 ;38 ;93;21;63;0.504 ;1013 ;28.4 ;55.3 ;0.850 ;100 ;12.6 ;94 ;1 ;0 ;45 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.20 ;11214 ;40 ;92;21;64;0.500 ;837 ;53.8 ;54.7 ;0.850 ;0 ;12.3 ;1 ;1 ;0 ;46 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.30 ;11315 ;40 ;93;21;64;0.500 ;884 ;57.9 ;55.0 ;0.850 ;0 ;12.3 ;-5 ;1 ;0 ;46 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.40 ;11029 ;40 ;93;21;64;0.500 ;725 ;48.5 ;53.6 ;0.850 ;0 ;12.3 ;10 ;1 ;0 ;45 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.50 ;11581 ;39 ;93;21;63;0.503 ;754 ;55.6 ;56.3 ;0.850 ;0 ;12.4 ;1 ;1 ;0 ;45 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.60 ;11048 ;39 ;93;21;65;0.500 ;784 ;51.5 ;53.7 ;0.850 ;0 ;12.3 ;4 ;1 ;0 ;44 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.70 ;10977 ;39 ;93;21;64;0.500 ;915 ;49.4 ;52.8 ;0.850 ;0 ;12.3 ;6 ;1 ;0 ;44 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.80 ;10875 ;38 ;93;21;64;0.500 ;872 ;45.1 ;52.8 ;0.850 ;6 ;12.3 ;17 ;1 ;0 ;43 ;0.0 ;0.0 ;0.0 ;
623 ;1:29.90 ;10794 ;39 ;93;21;65;0.500 ;722 ;58.2 ;52.4 ;0.850 ;0 ;12.3 ;-9 ;1 ;0 ;43 ;0.0 ;0.0 ;0.0 ;
623 ;1:30.00 ;11029 ;41 ;93;21;65;0.500 ;717 ;64.2 ;53.6 ;0.850 ;0 ;12.3 ;-16 ;1 ;0 ;46 ;0.0 ;0.0 ;0.0 ;
623 ;1:30.10 ;11295 ;40 ;93;21;65;0.500 ;718 ;56.4 ;54.5 ;0.850 ;0 ;12.4 ;-3 ;1 ;0 ;46 ;0.0 ;0.0 ;0.0 ;
623 ;1:30.20 ;9936 ;40 ;93;21;68;0.500 ;733 ;47.8 ;48.3 ;0.850 ;0 ;12.6 ;1 ;1 ;0 ;41 ;0.0 ;0.0 ;0.0 ;
623 ;1:30.30 ;10279 ;40 ;93;21;66;0.500 ;721 ;47.7 ;49.9 ;0.850 ;0 ;12.3 ;4 ;1 ;0 ;42 ;0.0 ;0.0 ;0.0 ;
623 ;1:30.40 ;10129 ;41 ;93;21;71;0.500 ;725 ;47.3 ;49.2 ;0.850 ;0 ;12.4 ;4 ;1 ;0 ;42 ;0.0 ;0.0 ;0.0 ;
