SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;
131 ;0:51.90 ;2266 ;9 ;0.897 ;23.6 ;0.0 ;0.900 ;0 ;4.18 ;22.0 ;0 ;10 ;15.5;
131 ;0:52.00 ;2298 ;8 ;0.907 ;23.1 ;0.0 ;0.900 ;0 ;4.18 ;20.0 ;0 ;10 ;15.5;
131 ;0:52.10 ;2327 ;8 ;0.919 ;23.4 ;0.0 ;0.900 ;0 ;4.18 ;20.0 ;0 ;10 ;16.2;
131 ;0:52.20 ;2351 ;8 ;0.902 ;22.5 ;0.0 ;0.900 ;0 ;4.18 ;20.0 ;0 ;10 ;15.1;
131 ;0:52.30 ;2331 ;7 ;0.906 ;22.5 ;0.0 ;0.900 ;0 ;4.03 ;18.0 ;0 ;10 ;14.5;
131 ;0:52.40 ;2555 ;5 ;0.907 ;24.7 ;0.0 ;0.900 ;0 ;3.75 ;14.2 ;0 ;9 ;11.0;
131 ;0:52.50 ;2390 ;1 ;0.916 ;23.5 ;0.0 ;0.900 ;0 ;2.92 ;8.6 ;0 ;7 ;10.7;
131 ;0:52.60 ;2198 ;1 ;0.878 ;23.3 ;0.0 ;0.900 ;0 ;3.08 ;8.0 ;0 ;7 ;11.1;
131 ;0:52.70 ;2304 ;1 ;0.862 ;23.4 ;0.0 ;0.900 ;0 ;2.99 ;8.4 ;0 ;7 ;12.0;
131 ;0:52.80 ;2749 ;1 ;0.873 ;24.1 ;0.0 ;0.900 ;0 ;2.79 ;10.0 ;0 ;6 ;10.8;
131 ;0:52.90 ;2637 ;0 ;0.866 ;23.0 ;0.0 ;0.900 ;0 ;2.54 ;8.5 ;0 ;6 ;10.4;
131 ;0:53.00 ;2394 ;0 ;0.863 ;22.3 ;0.0 ;0.900 ;0 ;2.69 ;7.5 ;0 ;6 ;10.8;
131 ;0:53.10 ;2439 ;0 ;0.834 ;22.2 ;0.0 ;0.900 ;0 ;2.63 ;7.7 ;0 ;6 ;11.3;
131 ;0:53.20 ;2641 ;0 ;0.836 ;22.1 ;0.0 ;0.900 ;0 ;2.54 ;8.5 ;0 ;6 ;12.0;
131 ;0:53.30 ;2869 ;0 ;0.851 ;22.5 ;0.0 ;0.900 ;0 ;2.50 ;9.4 ;0 ;6 ;11.6;
131 ;0:53.40 ;2857 ;0 ;0.866 ;23.1 ;0.0 ;0.900 ;0 ;2.50 ;9.4 ;0 ;6 ;11.4;
131 ;0:53.50 ;2866 ;0 ;0.850 ;23.4 ;0.0 ;0.900 ;0 ;2.50 ;9.4 ;0 ;6 ;10.3;
131 ;0:53.60 ;2840 ;0 ;0.815 ;25.2 ;0.0 ;0.900 ;0 ;2.50 ;9.3 ;0 ;6 ;8.5;
131 ;0:53.70 ;2670 ;0 ;0.783 ;28.4 ;0.0 ;0.900 ;0 ;2.53 ;8.6 ;0 ;6 ;9.2;
131 ;0:53.80 ;3020 ;0 ;0.771 ;31.9 ;0.0 ;0.900 ;0 ;2.47 ;10.0 ;0 ;6 ;9.9;
131 ;0:53.90 ;3454 ;0 ;0.773 ;33.4 ;0.0 ;0.900 ;0 ;2.55 ;10.4 ;0 ;7 ;10.4;
131 ;0:54.00 ;3935 ;0 ;0.830 ;37.7 ;0.0 ;0.900 ;0 ;2.63 ;10.9 ;0 ;8 ;10.5;
131 ;0:54.10 ;4141 ;0 ;0.876 ;37.9 ;0.0 ;0.900 ;0 ;2.65 ;11.5 ;0 ;9 ;11.3;
131 ;0:54.20 ;4185 ;0 ;0.980 ;38.2 ;0.0 ;0.900 ;0 ;2.65 ;11.7 ;0 ;9 ;8.4;
131 ;0:54.30 ;3557 ;0 ;1.047 ;37.9 ;0.0 ;0.900 ;0 ;2.57 ;10.5 ;0 ;7 ;8.9;
131 ;0:54.40 ;3721 ;0 ;1.080 ;38.9 ;0.0 ;0.900 ;0 ;2.59 ;10.7 ;0 ;8 ;9.5;
131 ;0:54.50 ;3774 ;0 ;1.072 ;40.2 ;0.0 ;0.900 ;0 ;2.60 ;10.7 ;0 ;8 ;9.2;
131 ;0:54.60 ;3854 ;0 ;1.055 ;42.2 ;0.0 ;0.900 ;0 ;2.62 ;10.8 ;0 ;8 ;8.6;
131 ;0:54.70 ;3987 ;0 ;1.036 ;43.0 ;0.0 ;0.900 ;0 ;2.64 ;10.9 ;0 ;8 ;9.0;
