SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;INJ;
457 ;0:01.69 ;1547 ;0 ;0.846 ;5.9 ;0.0 ;0 ;3.37 ;
457 ;0:01.70 ;1585 ;0 ;0.846 ;5.9 ;0.0 ;0 ;3.36 ;
457 ;0:01.71 ;1655 ;0 ;0.845 ;5.9 ;0.0 ;0 ;3.35 ;
457 ;0:01.72 ;1655 ;0 ;0.846 ;5.9 ;0.0 ;0 ;3.35 ;
457 ;0:01.73 ;1755 ;0 ;0.832 ;6.2 ;0.0 ;0 ;3.33 ;
457 ;0:01.74 ;1755 ;0 ;0.827 ;6.2 ;0.0 ;0 ;3.33 ;
457 ;0:01.75 ;1833 ;0 ;0.832 ;6.2 ;0.0 ;0 ;3.32 ;
457 ;0:01.76 ;1833 ;0 ;0.833 ;6.2 ;0.0 ;0 ;3.32 ;
457 ;0:01.77 ;1897 ;0 ;0.832 ;6.2 ;0.0 ;0 ;3.31 ;
457 ;0:01.78 ;1897 ;0 ;0.833 ;6.7 ;0.0 ;0 ;3.31 ;
457 ;0:01.79 ;1924 ;0 ;0.827 ;6.7 ;0.0 ;0 ;3.31 ;
457 ;0:01.80 ;1988 ;0 ;0.832 ;6.7 ;0.0 ;0 ;3.30 ;
457 ;0:01.81 ;1988 ;0 ;0.836 ;6.7 ;0.0 ;0 ;3.30 ;
457 ;0:01.82 ;2040 ;0 ;0.824 ;6.7 ;0.0 ;0 ;3.28 ;
457 ;0:01.83 ;2111 ;0 ;0.836 ;6.8 ;0.0 ;0 ;3.25 ;
457 ;0:01.84 ;2111 ;0 ;0.833 ;6.8 ;0.0 ;0 ;3.25 ;
457 ;0:01.85 ;2183 ;0 ;0.828 ;6.8 ;0.0 ;0 ;3.21 ;
457 ;0:01.86 ;2254 ;0 ;0.833 ;6.8 ;0.0 ;0 ;3.17 ;
457 ;0:01.87 ;2310 ;0 ;0.833 ;7.2 ;0.0 ;0 ;3.15 ;
457 ;0:01.88 ;2310 ;0 ;0.835 ;7.2 ;0.0 ;0 ;3.15 ;
457 ;0:01.89 ;2348 ;0 ;0.858 ;7.2 ;0.0 ;0 ;3.13 ;
457 ;0:01.90 ;2396 ;0 ;0.883 ;7.2 ;0.0 ;0 ;3.11 ;
457 ;0:01.91 ;2446 ;0 ;0.880 ;7.2 ;0.0 ;0 ;3.09 ;
457 ;0:01.92 ;2446 ;0 ;0.884 ;7.5 ;0.0 ;0 ;3.09 ;
457 ;0:01.93 ;2478 ;0 ;0.879 ;7.5 ;0.0 ;0 ;3.07 ;
457 ;0:01.94 ;2522 ;0 ;0.876 ;7.5 ;0.0 ;0 ;3.06 ;
457 ;0:01.95 ;2557 ;0 ;0.878 ;7.5 ;0.0 ;0 ;3.05 ;
457 ;0:01.96 ;2604 ;0 ;0.880 ;7.3 ;0.0 ;0 ;3.04 ;
457 ;0:01.97 ;2666 ;0 ;0.890 ;7.3 ;0.0 ;0 ;3.03 ;
457 ;0:01.98 ;2666 ;0 ;0.946 ;7.3 ;0.0 ;0 ;3.03 ;
457 ;0:01.99 ;2716 ;0 ;0.950 ;7.3 ;0.0 ;0 ;3.02 ;
457 ;0:02.00 ;2745 ;0 ;0.945 ;7.6 ;0.0 ;0 ;3.02 ;
457 ;0:02.01 ;2798 ;0 ;0.949 ;7.6 ;0.0 ;0 ;3.01 ;
457 ;0:02.02 ;2792 ;0 ;0.942 ;7.6 ;0.0 ;0 ;3.01 ;
457 ;0:02.03 ;2823 ;0 ;0.942 ;7.6 ;0.0 ;0 ;3.00 ;
457 ;0:02.04 ;2880 ;0 ;0.940 ;7.6 ;0.0 ;0 ;2.99 ;
457 ;0:02.05 ;2880 ;0 ;0.938 ;7.6 ;0.0 ;0 ;2.99 ;
457 ;0:02.06 ;2897 ;0 ;0.938 ;7.6 ;0.0 ;0 ;2.99 ;
457 ;0:02.07 ;2914 ;0 ;0.936 ;7.6 ;0.0 ;0 ;2.98 ;
457 ;0:02.08 ;2922 ;0 ;0.941 ;7.4 ;0.0 ;0 ;2.98 ;
457 ;0:02.09 ;2961 ;0 ;0.937 ;7.4 ;0.0 ;0 ;2.97 ;
457 ;0:02.10 ;2982 ;0 ;0.941 ;7.4 ;0.0 ;0 ;2.97 ;
457 ;0:02.11 ;3017 ;0 ;0.938 ;8.1 ;0.0 ;0 ;2.96 ;
457 ;0:02.12 ;3040 ;0 ;0.939 ;8.1 ;0.0 ;0 ;2.96 ;
457 ;0:02.13 ;3026 ;0 ;0.939 ;8.1 ;0.0 ;0 ;2.96 ;
457 ;0:02.14 ;3042 ;0 ;0.899 ;8.1 ;0.0 ;0 ;2.96 ;
457 ;0:02.15 ;3082 ;0 ;0.902 ;7.8 ;0.0 ;0 ;2.96 ;
457 ;0:02.16 ;3112 ;0 ;0.898 ;7.8 ;0.0 ;0 ;2.95 ;
457 ;0:02.17 ;3150 ;0 ;0.901 ;7.8 ;0.0 ;0 ;2.95 ;
457 ;0:02.18 ;3151 ;0 ;0.894 ;7.8 ;0.0 ;0 ;2.95 ;
457 ;0:02.19 ;3166 ;0 ;0.895 ;7.9 ;0.0 ;0 ;2.95 ;
457 ;0:02.20 ;3177 ;0 ;0.893 ;7.9 ;0.0 ;0 ;2.95 ;
457 ;0:02.21 ;3191 ;0 ;0.895 ;7.9 ;0.0 ;0 ;2.95 ;
457 ;0:02.22 ;3219 ;0 ;0.854 ;7.9 ;0.0 ;0 ;2.94 ;
457 ;0:02.23 ;3258 ;0 ;0.854 ;8.1 ;0.0 ;0 ;2.94 ;
457 ;0:02.24 ;3299 ;0 ;0.858 ;8.1 ;0.0 ;0 ;2.94 ;
457 ;0:02.25 ;3351 ;0 ;0.855 ;8.1 ;0.0 ;0 ;2.93 ;
457 ;0:02.26 ;3391 ;0 ;0.859 ;7.9 ;0.0 ;0 ;2.93 ;
457 ;0:02.27 ;3448 ;0 ;0.854 ;7.9 ;0.0 ;0 ;2.92 ;
457 ;0:02.28 ;3448 ;0 ;0.855 ;7.9 ;0.0 ;0 ;2.92 ;
457 ;0:02.29 ;3462 ;0 ;0.848 ;7.9 ;0.0 ;0 ;2.92 ;
457 ;0:02.30 ;3501 ;0 ;0.826 ;8.1 ;0.0 ;0 ;2.91 ;
