SESSION; TIME;RPM;THROT;ANA1;L U SP;L D SP;SHIF A;
317 ;2:05.70 ;6021 ;34 ;4916 ;38.5 ;0.0 ;0 ;
317 ;2:05.71 ;5772 ;34 ;4931 ;39.1 ;0.0 ;0 ;
317 ;2:05.72 ;5490 ;34 ;4921 ;37.8 ;0.0 ;0 ;
317 ;2:05.73 ;5299 ;34 ;4931 ;37.2 ;0.0 ;0 ;
317 ;2:05.74 ;5277 ;34 ;4936 ;37.6 ;0.0 ;0 ;
317 ;2:05.75 ;5057 ;34 ;4946 ;37.1 ;0.0 ;0 ;
317 ;2:05.76 ;4882 ;34 ;4912 ;37.7 ;0.0 ;0 ;
317 ;2:05.77 ;4652 ;34 ;4946 ;37.3 ;0.0 ;0 ;
317 ;2:05.78 ;4705 ;34 ;4951 ;37.3 ;0.0 ;1 ;
317 ;2:05.79 ;4826 ;34 ;4951 ;38.8 ;0.0 ;1 ;
317 ;2:05.80 ;5059 ;34 ;4951 ;37.1 ;0.0 ;1 ;
317 ;2:05.81 ;5199 ;34 ;4956 ;37.7 ;0.0 ;1 ;
317 ;2:05.82 ;5444 ;34 ;4960 ;34.4 ;0.0 ;1 ;
317 ;2:05.83 ;5480 ;34 ;4936 ;38.8 ;0.0 ;0 ;
317 ;2:05.84 ;5468 ;34 ;0 ;36.1 ;0.0 ;0 ;
317 ;2:05.85 ;5463 ;34 ;0 ;37.2 ;0.0 ;0 ;
317 ;2:05.86 ;5445 ;34 ;0 ;36.7 ;0.0 ;0 ;
317 ;2:05.87 ;5411 ;34 ;0 ;36.8 ;0.0 ;0 ;
317 ;2:05.88 ;5355 ;34 ;0 ;37.7 ;0.0 ;0 ;
317 ;2:05.89 ;5323 ;34 ;0 ;37.2 ;0.0 ;0 ;
317 ;2:05.90 ;5290 ;34 ;0 ;35.1 ;0.0 ;0 ;
317 ;2:05.91 ;5244 ;34 ;0 ;35.6 ;0.0 ;0 ;
317 ;2:05.92 ;5227 ;34 ;0 ;34.7 ;0.0 ;0 ;
317 ;2:05.93 ;5212 ;34 ;0 ;37.6 ;0.0 ;0 ;
317 ;2:05.94 ;5225 ;34 ;0 ;35.2 ;0.0 ;0 ;
317 ;2:05.95 ;5224 ;34 ;0 ;37.1 ;0.0 ;0 ;
317 ;2:05.96 ;5237 ;34 ;0 ;34.5 ;0.0 ;0 ;
317 ;2:05.97 ;5238 ;34 ;0 ;35.1 ;0.0 ;0 ;
317 ;2:05.98 ;5222 ;34 ;0 ;35.2 ;0.0 ;0 ;
317 ;2:05.99 ;5201 ;34 ;0 ;35.4 ;0.0 ;0 ;
317 ;2:06.00 ;5158 ;34 ;0 ;34.3 ;0.0 ;0 ;
317 ;2:06.01 ;5121 ;34 ;0 ;35.5 ;0.0 ;0 ;
317 ;2:06.02 ;5093 ;34 ;0 ;35.1 ;0.0 ;0 ;
317 ;2:06.03 ;5034 ;34 ;0 ;33.9 ;0.0 ;0 ;
317 ;2:06.04 ;4969 ;34 ;0 ;35.5 ;0.0 ;0 ;
317 ;2:06.05 ;4942 ;34 ;0 ;33.0 ;0.0 ;0 ;
317 ;2:06.06 ;4895 ;34 ;0 ;34.8 ;0.0 ;0 ;
317 ;2:06.07 ;4865 ;34 ;0 ;33.7 ;0.0 ;0 ;
317 ;2:06.08 ;4863 ;34 ;0 ;32.5 ;0.0 ;0 ;
317 ;2:06.09 ;4858 ;34 ;0 ;32.8 ;0.0 ;0 ;
317 ;2:06.10 ;4866 ;34 ;0 ;34.1 ;0.0 ;0 ;
317 ;2:06.11 ;4868 ;34 ;0 ;34.4 ;0.0 ;0 ;
317 ;2:06.12 ;4885 ;34 ;0 ;34.6 ;0.0 ;0 ;
317 ;2:06.13 ;4900 ;34 ;0 ;31.7 ;0.0 ;0 ;
317 ;2:06.14 ;4895 ;34 ;0 ;32.9 ;0.0 ;0 ;
317 ;2:06.15 ;4887 ;34 ;0 ;34.0 ;0.0 ;0 ;
317 ;2:06.16 ;4867 ;34 ;0 ;30.4 ;0.0 ;0 ;
317 ;2:06.17 ;4817 ;34 ;0 ;32.7 ;0.0 ;0 ;
317 ;2:06.18 ;4761 ;34 ;0 ;32.0 ;0.0 ;0 ;
317 ;2:06.19 ;4730 ;34 ;0 ;32.2 ;0.0 ;0 ;
317 ;2:06.20 ;4713 ;34 ;0 ;31.8 ;0.0 ;0 ;
317 ;2:06.21 ;4691 ;34 ;0 ;31.5 ;0.0 ;0 ;
317 ;2:06.22 ;4660 ;33 ;0 ;33.1 ;0.0 ;0 ;
317 ;2:06.23 ;4660 ;33 ;0 ;30.8 ;0.0 ;0 ;
317 ;2:06.24 ;4627 ;33 ;0 ;31.5 ;0.0 ;0 ;
317 ;2:06.25 ;4592 ;33 ;0 ;30.2 ;0.0 ;0 ;
317 ;2:06.26 ;4567 ;33 ;0 ;30.8 ;0.0 ;0 ;
317 ;2:06.27 ;4544 ;33 ;0 ;31.2 ;0.0 ;0 ;
317 ;2:06.28 ;4533 ;33 ;0 ;31.1 ;0.0 ;0 ;
317 ;2:06.29 ;4497 ;33 ;0 ;30.3 ;0.0 ;0 ;
317 ;2:06.30 ;4465 ;33 ;0 ;30.9 ;0.0 ;0 ;
317 ;2:06.31 ;4412 ;33 ;0 ;30.5 ;0.0 ;0 ;
317 ;2:06.32 ;4389 ;33 ;0 ;29.8 ;0.0 ;0 ;
317 ;2:06.33 ;4337 ;33 ;0 ;30.6 ;0.0 ;0 ;
317 ;2:06.34 ;4310 ;33 ;0 ;29.2 ;0.0 ;0 ;
317 ;2:06.35 ;4286 ;32 ;0 ;29.4 ;0.0 ;0 ;
317 ;2:06.36 ;4288 ;32 ;0 ;30.4 ;0.0 ;0 ;
317 ;2:06.37 ;4286 ;32 ;0 ;30.0 ;0.0 ;0 ;
317 ;2:06.38 ;4320 ;32 ;0 ;30.3 ;0.0 ;0 ;
317 ;2:06.39 ;4373 ;32 ;0 ;28.1 ;0.0 ;0 ;
317 ;2:06.40 ;4382 ;31 ;0 ;29.6 ;0.0 ;0 ;
317 ;2:06.41 ;4358 ;31 ;0 ;29.6 ;0.0 ;0 ;
317 ;2:06.42 ;4319 ;31 ;0 ;27.6 ;0.0 ;0 ;
317 ;2:06.43 ;4283 ;31 ;0 ;28.9 ;0.0 ;0 ;
317 ;2:06.44 ;4239 ;30 ;0 ;28.9 ;0.0 ;0 ;
317 ;2:06.45 ;4160 ;30 ;0 ;28.3 ;0.0 ;0 ;
317 ;2:06.46 ;4124 ;29 ;0 ;28.0 ;0.0 ;0 ;
317 ;2:06.47 ;4061 ;29 ;0 ;27.5 ;0.0 ;0 ;
317 ;2:06.48 ;4037 ;29 ;0 ;29.1 ;0.0 ;0 ;
317 ;2:06.49 ;4033 ;28 ;0 ;27.9 ;0.0 ;0 ;
317 ;2:06.50 ;4027 ;28 ;0 ;28.6 ;0.0 ;0 ;
317 ;2:06.51 ;4041 ;28 ;0 ;27.9 ;0.0 ;0 ;
317 ;2:06.52 ;4069 ;28 ;0 ;27.7 ;0.0 ;0 ;
317 ;2:06.53 ;4132 ;28 ;0 ;27.7 ;0.0 ;0 ;
317 ;2:06.54 ;4173 ;27 ;0 ;26.5 ;0.0 ;0 ;
317 ;2:06.55 ;4226 ;27 ;0 ;27.0 ;0.0 ;0 ;
317 ;2:06.56 ;4290 ;27 ;0 ;27.4 ;0.0 ;0 ;
317 ;2:06.57 ;4306 ;26 ;0 ;26.0 ;0.0 ;0 ;
317 ;2:06.58 ;4266 ;26 ;0 ;27.3 ;0.0 ;0 ;
317 ;2:06.59 ;4203 ;25 ;0 ;26.8 ;0.0 ;0 ;
317 ;2:06.60 ;4122 ;23 ;0 ;25.9 ;0.0 ;0 ;
317 ;2:06.61 ;3969 ;22 ;0 ;25.9 ;0.0 ;0 ;
317 ;2:06.62 ;3886 ;20 ;0 ;27.0 ;0.0 ;0 ;
317 ;2:06.63 ;3750 ;18 ;0 ;26.7 ;0.0 ;0 ;
317 ;2:06.64 ;3661 ;17 ;0 ;25.3 ;0.0 ;0 ;
317 ;2:06.65 ;3604 ;16 ;0 ;27.2 ;0.0 ;0 ;
317 ;2:06.66 ;3591 ;15 ;0 ;25.7 ;0.0 ;0 ;
317 ;2:06.67 ;3623 ;14 ;0 ;27.2 ;0.0 ;0 ;
317 ;2:06.68 ;3660 ;14 ;0 ;24.9 ;0.0 ;0 ;
317 ;2:06.69 ;3705 ;13 ;0 ;27.3 ;0.0 ;0 ;
317 ;2:06.70 ;3781 ;13 ;0 ;25.7 ;0.0 ;0 ;
317 ;2:06.71 ;3817 ;12 ;0 ;27.3 ;0.0 ;0 ;
